"code","make","model","name","type","tar_code","tar_name","tar_minutes","tar_sms","tar_data"
"HTC-DESIREC-WHI-0","HTC","Desire C","HTC Desire C White","paym","NC24-1000-250-SM","Â£10 Smartphone tariff 24 month contract","250","5000","500"
"HTC-8S-XXX-0","HTC","Windows Phone 8S","HTC 8S","paym","FC24-2250-750-M1","Â£22.50 Smartphone tariff 24 month contract","750","5000","1024"
"HTD610XX-24-0850-0","HTC","Desire 610","HTC Desire 610","paym","FF24-2200-3000-M64H","Â£22.00 Usage Contract (24 Months)","3000","5000","6144"
"BB-9720-WHI-0","BlackBerry","9720","Blackberry 9720 White","paym","FC24-1250-250-2B","Â£12.50 BlackBerry Tariff 24 Month Contract","250","5000","250"
"SO-Z1-BLK-576","Sony","Z1","Sony Z1 Black Immediate","paym","FC24-1500-1000-M2","Â£15 Smartphone tariff 24 month contract","1000","5000","2048"
"SS-GALS3MINI-WHI-0","Samsung","Galaxy S III Mini","Samsung Galaxy S3 Mini White","paym","FC24-1750-250-M1","Â£17.50 Smartphone Tariff 24 Month Contract","250","5000","1024"
"NKL635BK-24-0350-0","Nokia","Lumia 635","Nokia Lumia 635 Black","paym","FF24-0900-250-5M4L","Â£9.00 Usage Contract (24 Months)","250","5000","500"
"AP-IP5C16GB-WHI-0","Apple","iPhone 5c 16GB","iPhone 5c 16GB White","paym","FF24-1150-500-M1O","Â£11.50 Anytime Upgrade Tariff 24 Month Contr","500","5000","1024"
"AP-IP564GB-WHI-0","Apple","iPhone 5 64GB","iPhone 5 64GB White","paym","FF24-1900-3000-M3H","Â£19 Anytime Upgrade Tariff 24 Month Contract","3000","5000","3072"
"SSGS5AGO-24-2100-0","Samsung","Galaxy Alpha","Samsung Galaxy Alpha Gold","paym","FF24-0900-250-5M4H","Â£9.00 Usage Contract (24 Months)","250","5000","500"
"BB-9320-BLK-0","BlackBerry","Curve 9320","BlackBerry 9320 Black","paym","NC24-1750-500-B2","Â£17.50 BlackBerry Tariff 24 Month Contract","500","5000","1024"
"AP-IP5C32GB-BLU-0","Apple","iPhone 5c 32GB","iPhone 5c 32GB Blue","paym","FF24-1700-3000-M3CL","Â£17 Anytime Upgrade Tariff 24 Month Contract","3000","5000","3072"
"BB-9320-BLK-0","BlackBerry","Curve 9320","BlackBerry 9320 Black","paym","FC24-1500-500-B1","Â£15 BlackBerry tariff 24 month contract","500","5000","1024"
"SS-GALAXYS4-WHI-0","Samsung","Galaxy S4","Samsung Galaxy S4 White","paym","FF24-1900-3000-M3C","Â£19 Anytime Upgrade Tariff 24 Month Contract","3000","5000","3072"
"AP5S16SV-24-2050-0","Apple","iPhone 5s 16GB","iPhone 5s 16GB Silver","paym","FF24-2200-3000-M64H","Â£22.00 Usage Contract (24 Months)","3000","5000","6144"
"AP-IP4S8GB-WHI-0","Apple","iPhone 4S 8GB","iPhone 4S 8GB White","paym","FF24-1700-3000-M3CV","Â£17 Anytime Upgrade Tariff 24 Month Contract","3000","5000","3072"
